Cluster_ID,disbursed_amount,asset_cost,ltv,Employment.Type,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGEACCTAGE,CREDITHISTORYLENGTH,loan_default,logit_loan_default
1,58039.64223,66908.58932,88.86611993,0.471907281,0.572940287,0.122700932,10.05291005,19.42705971,0.255731922,1.12942041
2,988963,1478973,68.32,0,1,0.5,39.5,46.5,0,0
3,34044.88115,46672.24409,75.99625559,0.328434505,0.415335463,0.106070288,8.604472843,15.62364217,0.225559105,0.972206618
4,69750.44994,82613.23375,86.39490626,0.499002792,0.571200638,0.124850419,9.70283207,19.27961707,0.267650578,1.195092285
5,75699.70161,165580.7876,47.48607527,0.295698925,0.341397849,0.091397849,9.491935484,16.97311828,0.217741935,0.933288306
6,41006.85745,90828.2365,47.03551836,0.375809935,0.231101512,0.06587473,7.534557235,12.4049676,0.133909287,0.549024711
7,28033.73854,53847.6961,54.71105263,0.368421053,0.251273345,0.083191851,9.161290323,15.62478778,0.134125637,0.549957096
8,41977.27761,65787.96375,66.20801611,0.407854985,0.339375629,0.078214166,9.192346425,16.24269889,0.135615979,0.55638626
9,55311.90673,67528.43493,84.35499544,0.490965505,0.447344406,0.115167001,8.414674211,15.95856908,0.272860011,1.224531415
10,56713.52808,74178.95571,78.72278449,0.426997245,0.34943844,0.090273363,8.367238822,15.14155541,0.242636152,1.059715389
11,36982.20233,50900.13424,75.592393,0.394941634,0.380674449,0.097276265,8.985732815,15.52788586,0.230220493,0.995741549
12,51350.4466,63237.7911,83.96673822,0.488219895,0.426439791,0.111518325,9.394764398,17.86439791,0.236910995,1.029974721
13,29695.97394,76700.09229,40.54411509,0.311617807,0.190010858,0.042345277,6.508143322,10.23561346,0.127035831,0.519521332
14,72155.06612,100383.3687,73.84052234,0.38134058,0.3227657,0.077596618,7.135567633,12.23339372,0.275664251,1.240575951
15,37912.6056,66801.06561,59.03154073,0.409878363,0.31183192,0.070033174,9.212311095,16.07187615,0.115370439,0.469943734
16,62214.51629,71405.79696,89.17835921,0.491324201,0.565905632,0.125418569,10.96894977,21.37077626,0.254185693,1.121062214
17,54441.21448,82518.03647,68.14108873,0.294501905,0.281437126,0.077299946,8.577027763,14.69134458,0.177463255,0.742138247
18,64241.10871,84076.85279,78.41479695,0.439086294,0.41285956,0.101099831,9.208544839,16.84686971,0.253807107,1.119021162
19,71601.4244,112003.4642,65.82407958,0.314588859,0.233421751,0.070026525,6.687002653,10.68965517,0.233421751,1.012053095
20,32448.90894,69135.47588,49.03455827,0.382113821,0.283468835,0.064498645,9.583739837,16.00216802,0.104607046,0.424698646
21,75593.10229,142132.903,54.76291005,0.287477954,0.239858907,0.072310406,7.9664903,12.03880071,0.204585538,0.869230414
22,45894.61567,71788.16445,66.23551564,0.363889749,0.301641375,0.081759059,9.189532363,15.65593063,0.146794673,0.604979341
23,36063.09962,80665.27995,46.64697352,0.286254729,0.190416141,0.054224464,7.153846154,11.60529634,0.133669609,0.547992063
24,41127.7359,75355.58013,56.64326282,0.310897436,0.207692308,0.081410256,8.518589744,14.07884615,0.148717949,0.613408564
25,59023.03421,85363.53374,71.39910497,0.367385192,0.295688847,0.08950328,7.867385192,13.79803187,0.210402999,0.897342108
26,56091.3694,64931.5286,88.67299514,0.504047491,0.487857528,0.119266055,9.991635186,19.36859147,0.267943875,1.196737391
27,53994.38598,62640.98866,88.61128854,0.500290867,0.510471204,0.112565445,9.837696335,18.84845841,0.260907504,1.157661316
28,50733.3812,68768.42157,76.29248713,0.411270658,0.38797074,0.094825251,9.063939312,16.48415064,0.187753996,0.789639859
29,64573.03347,74204.96402,89.02644836,0.501259446,0.632961497,0.129902843,10.49154372,21.10291472,0.263404102,1.1714339
30,27520.52615,91604.42154,31.69221538,0.341538462,0.255384615,0.030769231,6.836923077,10.83384615,0.153846154,0.635988767
31,49739.42234,75058.65292,68.49786254,0.310309278,0.287972509,0.08419244,8.246391753,14.19931271,0.167697595,0.697789956
32,97508.32309,160449.4286,62.97006645,0.299003322,0.353820598,0.147840532,10.67358804,18.66528239,0.235880399,1.02466557
33,72477.02216,123111.8661,60.62638469,0.295065458,0.231621349,0.067472306,7.898288016,13.04531722,0.238670695,1.039070896
34,75444.44286,106380.4056,72.77382986,0.344286236,0.286600949,0.075209931,6.652062797,11.20080321,0.27418766,1.232109999
35,50596.51938,122848.0258,42.66937984,0.325581395,0.242894057,0.080103359,7.599483204,12.48578811,0.15503876,0.641262347
36,36713.12248,73028.56946,52.3533298,0.340402969,0.279427359,0.077942736,9.331919406,15.88653234,0.123011665,0.502350997
37,48301.43643,68402.63809,73.06437467,0.394997394,0.326732673,0.094059406,9.039864513,16.20557582,0.173006774,0.72181594
38,94710.09091,140348.734,69.45980658,0.335589942,0.390715667,0.101547389,8.782398453,16.81624758,0.264023211,1.174864721
39,73206.27082,87499.2264,85.49706354,0.56076496,0.541640962,0.125231339,10.51511413,20.25848242,0.27637261,1.244651343
40,43351.43291,62095.23003,72.61800958,0.417252396,0.366134185,0.101916933,9.371884984,16.83546326,0.169648562,0.706595989
41,51412.37943,60476.55393,87.60418336,0.50577812,0.460323575,0.107473035,9.262711864,17.43798151,0.263097072,1.169734777
42,61996.8691,111482.6046,57.34897596,0.284951024,0.206589492,0.056990205,6.42030276,9.99109528,0.165627783,0.688475835
43,48451.75769,62735.46569,80.06385001,0.472532482,0.428994757,0.109870071,9.428766811,17.46683383,0.224071119,0.964746463
44,67631.25482,77635.29865,89.10236994,0.499036609,0.577071291,0.12716763,11.20761079,21.21820809,0.272639692,1.223276804
45,53505.6404,65325.66423,84.37191713,0.494203521,0.414984972,0.115714899,9.193430657,17.13868613,0.254186346,1.121065736
46,52732.56604,155692.6132,35.24235849,0.297169811,0.301886792,0.075471698,8.283018868,13.27830189,0.169811321,0.707331817
47,53093.49544,73233.71722,74.86406835,0.393670886,0.380253165,0.098227848,8.924556962,16.74025316,0.198734177,0.841277372
48,68192.54894,95358.50935,73.63494389,0.393703242,0.346633416,0.08478803,7.943266833,13.79769327,0.266209476,1.187030082
49,66821.35002,103469.825,66.55294639,0.277802393,0.218431546,0.062472308,7.081081081,10.88701817,0.241470979,1.053628068
50,41910.6608,53675.65544,80.9505513,0.474732006,0.39050536,0.10719755,9.222817764,16.38437979,0.245788668,1.076276336
51,62774.99004,90515.98181,71.57909052,0.381983543,0.309224773,0.092247726,8.475963621,14.54958857,0.233867475,1.014334062
52,94665.58225,182516.9935,54.17798701,0.246753247,0.378787879,0.145021645,14.30952381,24.72943723,0.203463203,0.863844254
53,65144.75603,80078.6891,83.40620007,0.449442245,0.456639079,0.122346168,8.621086722,16.97013314,0.278157611,1.254961918
54,82593.6826,114855.8329,73.78312962,0.390832923,0.349433218,0.088220798,8.091670774,14.68210941,0.269590931,1.206002825
55,49133.85892,98317.99793,51.77891425,0.295297372,0.210926694,0.059474412,6.401798064,10.03872752,0.150760719,0.622384709
56,53374.41957,69820.81261,78.87599462,0.450509322,0.396309821,0.096674995,9.194695368,16.76571209,0.223524889,0.962014144
57,67807.77934,88945.28274,78.2939556,0.48799275,0.473946534,0.134571817,9.231082918,17.58087902,0.264612596,1.178136611
58,60879.20173,79814.33714,78.44827884,0.412399753,0.381863048,0.102714374,8.874151758,16.62646514,0.238433066,1.03784025
59,58944.90371,76273.15499,79.44761071,0.420442842,0.361483007,0.097837281,8.436405767,16.02239959,0.250514933,1.101360487
60,58858.08406,71879.28519,84.13069889,0.483595418,0.435837701,0.117258785,8.94253543,17.02135508,0.271015337,1.214053238
61,20781.21569,62433.81176,35.46486275,0.382352941,0.343137255,0.080392157,9.735294118,17.00784314,0.121568627,0.496211583
62,50315.32651,65721.42893,79.0495903,0.461538462,0.402801003,0.105978261,9.220944816,16.85493311,0.214046823,0.915120458
63,55147.96867,104862.2247,54.29461333,0.259333333,0.2,0.061333333,6.154,9.776,0.167333333,0.696148682
64,38820.14069,62208.73853,65.05085714,0.43030303,0.330735931,0.083549784,9.985281385,17.85974026,0.129437229,0.52980328
65,46170.36926,75617.3483,63.29424152,0.323852295,0.249001996,0.070359281,8.058882236,13.4510978,0.151696607,0.626505208
66,38732.72222,56860.56271,71.09553905,0.403740374,0.324532453,0.078657866,8.794829483,15.55665567,0.189768977,0.79903947
67,43357.61841,80755.50808,55.68417428,0.27547435,0.240337316,0.062543921,7.26493324,12.12719606,0.137034434,0.56251574
68,49868.709,79433.12058,65.04457128,0.280278671,0.253483387,0.060557342,7.880493033,13.41103966,0.136655949,0.560879214
69,55578.00336,92479.3745,62.21775168,0.320134228,0.224832215,0.069798658,7.208053691,12.65369128,0.193959732,0.818697248
70,44816.16538,68111.10917,68.19981065,0.392011834,0.351183432,0.086094675,9.68964497,17.21213018,0.152071006,0.628155042
71,48964.97681,58870.02319,85.88921777,0.503144654,0.4375,0.104559748,8.896226415,16.7197327,0.252751572,1.113341643
72,59996.83975,69080.73792,88.96503231,0.486947532,0.545877488,0.120703024,9.82036702,19.08089946,0.252778496,1.11348631
73,89076.09576,125278.6782,73.05926217,0.379905808,0.435635793,0.110675039,8.776295133,17.05023548,0.279434851,1.262375996
74,45580.4771,63938.31134,73.97402672,0.418756816,0.390948746,0.106052345,9.311886587,17.14176663,0.175845147,0.734742634
75,63077.76801,76834.03408,84.18398206,0.471449925,0.462481315,0.116890882,8.801494768,16.6941704,0.26367713,1.172946132
76,34436.7328,63255.4,56.87664533,0.4128,0.331733333,0.104,9.822933333,17.79146667,0.116266667,0.473731905
77,47611.85423,65783.49005,74.88996298,0.425266081,0.382924572,0.089541879,9.592318371,17.0351689,0.175381768,0.732628292
78,41534.5379,70022.06231,61.58478712,0.394254067,0.320872274,0.078920042,8.884735202,15.97750087,0.13014884,0.532855391
79,61053.68901,98079.01183,64.30303598,0.297683588,0.187284377,0.056678167,6.596845737,10.32774766,0.219812716,0.943532811
80,49344.22887,87343.65231,58.47795056,0.342105263,0.238437002,0.066188198,8.063795853,13.87320574,0.167464115,0.696737849
81,57045.98907,69539.9323,84.38958573,0.482163406,0.458764864,0.113348677,9.174721903,17.72976601,0.26083621,1.157269474
82,52522.00442,67419.4799,80.39593307,0.461538462,0.386706949,0.092261213,9.177782942,16.98349988,0.230304439,0.996167716
83,198306.2258,294109.3871,68.29516129,0.419354839,0.64516129,0.225806452,14.4516129,31.41935484,0.129032258,0.52806743
84,22430.04665,72994.08892,32.61876093,0.304664723,0.16909621,0.042274052,7.202623907,11.82507289,0.142857143,0.587786666
85,46041.52169,55870.31351,85.35378563,0.499380421,0.38228005,0.100991326,8.902726146,16.11152416,0.27819083,1.255154359
86,61062.39633,74128.28247,84.52131423,0.486186419,0.450555125,0.111799639,8.957913762,16.88019623,0.273173251,1.226316646
87,53744.06581,76911.12065,72.17172581,0.332258065,0.294516129,0.083548387,8.189032258,14.13387097,0.194516129,0.821318404
88,32336.45096,58885.11646,57.5949387,0.422942207,0.330122592,0.095446585,9.11558669,16.79597198,0.127845884,0.52298667
89,55384.95342,71638.76686,79.71108922,0.448435689,0.402085747,0.111471611,8.900811124,16.65747393,0.238933951,1.040435104
90,22409.30145,44419.83188,53.6497971,0.32173913,0.350724638,0.084057971,9.130434783,15.91304348,0.153623188,0.635003786
91,50043.86391,71466.92459,72.40962728,0.374169315,0.349032072,0.083212944,9.019936435,16.33805259,0.188095926,0.79123257
92,27847.67935,65265.35171,44.78873447,0.444099379,0.282608696,0.072204969,9.554347826,17.27484472,0.118012422,0.481120468
93,124879.5725,181258.354,71.59702128,0.350096712,0.760154739,0.135396518,12.35203095,24.29787234,0.220502901,0.946957529
94,46083.11364,60261.95541,79.47783104,0.488099229,0.381495139,0.102246061,8.651022461,16.00033523,0.210526316,0.897941594
95,42600.09335,58847.93317,75.42412659,0.48019802,0.365275813,0.111032532,9.21251768,16.66619519,0.209335219,0.892157572
96,84324.13279,104039.4187,83.03949864,0.506775068,0.491869919,0.119241192,9.834688347,19.77913279,0.227642276,0.982693184
97,29679.50471,42796.17326,72.76304143,0.322033898,0.397363465,0.111111111,9.208097928,16.72316384,0.215630885,0.922891415
98,57030.91102,79052.23844,74.38254237,0.346687211,0.317026194,0.077812018,8.531972265,15.34938367,0.219183359,0.940414411
99,36699.62173,106726.163,35.89203219,0.233400402,0.197183099,0.054325956,6.167002012,9.770623742,0.110663984,0.450104098
100,76550.54032,94207.23135,83.03143934,0.523737754,0.562170309,0.133383572,10.66691786,20.72343632,0.250188395,1.099617315
