,disbursed_amount,asset_cost,ltv,Employment.Type,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGEACCTAGE,CREDITHISTORYLENGTH,loan_default
669,50678,61928,84.94,Salaried,0,0,10,10,1
670,56013,77472,74.87,Salaried,0,0,0,0,1
671,49578,68942,74.7,Self employed,0,0,0,0,0
672,54509,89239,62.75,Self employed,0,0,0,0,0
673,47599,70714,69.29,Salaried,0,0,24,24,0
674,53078,62592,87.87,Self employed,0,0,0,0,0
675,59947,74714,82.98,Salaried,4,0,7,15,0
676,64832,89400,74.61,Self employed,0,0,10,10,0
677,61463,89239,70.6,Self employed,1,0,1,1,0
678,68369,88814,78.82,Salaried,0,0,0,0,1
679,47845,54580,89.78,Salaried,0,1,15,27,1
680,58263,68780,87.23,Self employed,0,0,0,0,1
681,49349,74815,66.83,Self employed,0,0,0,0,0
682,67083,73585,94.99,Salaried,0,1,58,58,0
683,58213,71554,83.85,Self employed,0,2,19,33,0
684,54303,75706,72.65,Self employed,0,0,0,0,0
685,57263,66664,88.5,Self employed,2,0,3,6,0
686,54259,88814,63.05,Self employed,0,0,0,0,0
687,63509,71544,92.25,Salaried,1,0,7,13,0
688,57853,73302,84.58,Self employed,3,0,10,31,1
689,63463,89239,72.84,Salaried,0,0,28,102,0
690,48645,64711,77.27,Self employed,0,0,0,0,0
691,47845,54580,89.78,Self employed,1,0,6,8,0
692,59697,72884,84.38,Self employed,0,0,6,6,0
693,62947,75384,84.9,Salaried,0,0,0,0,0
694,52328,73001,73.97,Salaried,2,1,9,22,0
695,69169,88472,79.12,Self employed,2,0,14,25,0
696,52803,66651,81.77,Salaried,0,0,9,11,0
697,74329,80380,94.55,Salaried,3,2,11,48,0
698,57263,73001,80.82,Salaried,1,0,9,17,0
699,58263,68612,87.45,Salaried,1,0,8,20,1
700,54303,71082,77.38,Self employed,0,0,21,26,0
701,49349,75706,66.04,Self employed,1,1,5,7,1
702,53378,62592,87.87,Self employed,0,1,10,18,0
703,37539,71398,54.62,Self employed,0,0,54,54,0
704,57259,70985,81.71,Salaried,0,0,11,11,1
705,55263,75743,75.25,Salaried,0,0,7,7,0
706,53053,68780,79.24,Self employed,3,0,6,15,0
707,55009,68612,82.35,Salaried,0,1,18,30,0
708,59013,71082,84.41,Self employed,1,1,15,25,1
709,55659,71554,79.66,Salaried,0,0,8,11,0
710,59259,73302,81.85,Self employed,0,0,17,32,0
711,55013,64543,88.31,Salaried,0,0,13,28,0
712,53303,68942,79.78,Salaried,2,1,5,5,0
713,57259,75706,76.61,Self employed,0,0,25,45,0
714,59197,68612,88.91,Self employed,1,0,10,35,0
715,55259,83523,68.24,Salaried,0,0,66,100,0
716,46145,72203,65.09,Self employed,1,0,13,64,0
717,63463,89239,72.84,Salaried,0,0,0,0,1
718,56509,73001,79.45,Self employed,1,0,19,30,0
719,50078,64543,80.57,Self employed,4,0,4,8,1
720,57259,92831,62.48,Self employed,2,0,27,68,0
721,46945,68996,70.29,Salaried,0,0,0,0,0
722,65419,75455,88.79,Salaried,0,0,20,65,0
723,60197,73130,84.78,Self employed,0,0,0,0,0
724,68602,75451,94.76,Salaried,0,0,5,26,0
725,68882,92841,75.4,Self employed,2,0,5,7,0
726,59463,68612,88.91,Self employed,0,0,8,107,0
727,55763,91679,62.72,Salaried,0,0,0,0,0
728,53453,60526,92.52,Salaried,0,0,0,0,0
729,47845,54580,89.78,Salaried,1,0,33,135,0
730,47849,67805,71.53,Self employed,0,1,39,129,0
731,45349,64543,72.82,Self employed,0,1,32,56,0
732,58263,68780,87.23,Salaried,0,0,26,28,0
733,68419,89400,78.3,Self employed,0,0,33,74,0
734,62197,75452,84.82,Salaried,0,0,5,9,0
735,58259,74815,78.86,Salaried,0,0,10,10,0
736,47349,71082,67.53,Self employed,0,0,18,25,0
737,56613,68942,85,Self employed,0,0,7,7,1
738,59213,77472,78.74,Salaried,0,0,17,36,0
739,56013,72203,78.94,Self employed,0,0,21,21,0
740,61247,73302,84.99,Salaried,2,0,2,2,0
741,62197,72253,88.58,Salaried,2,0,10,25,0
742,57559,74815,77.93,Self employed,1,1,9,30,0
743,68132,89239,78.44,Salaried,0,0,0,0,0
744,47599,66664,73.5,Salaried,0,1,11,30,0
745,53078,69032,78.22,Self employed,0,0,0,0,1
746,61147,74660,84.65,Salaried,0,0,0,0,0
747,47599,73001,67.12,Salaried,0,0,18,24,0
748,47845,54580,89.78,Self employed,1,0,12,32,0
749,59259,75709,79.25,Self employed,0,0,19,19,0
750,62213,71258,88.41,Salaried,0,0,0,0,0
751,88215,119513,76.98,Salaried,0,0,0,0,0
752,57009,78424,74.59,Self employed,0,0,6,6,0
753,56263,68735,84.38,Self employed,0,0,0,0,0
754,68419,82506,84.84,Self employed,0,0,8,8,0
755,61097,70714,88.95,Self employed,0,0,23,50,0
756,63197,78424,82.88,Salaried,0,0,0,0,0
757,73817,106746,70.26,Self employed,0,0,29,34,0
758,49145,60593,82.52,Self employed,0,0,0,0,0
759,45549,71554,65.68,Salaried,0,0,0,0,0
760,66132,80400,84.58,Salaried,0,0,0,0,0
761,64132,77801,84.83,Self employed,1,0,4,7,0
762,52978,60593,88.95,Salaried,5,0,8,24,0
763,59797,75681,81.39,Self employed,0,0,0,0,0
764,73067,93153,80.51,Salaried,0,0,0,0,0
765,42322,73001,61.64,Self employed,0,0,0,0,0
766,67169,92841,73.24,Salaried,1,0,10,15,0
767,66882,92841,73.24,Self employed,3,0,13,36,0
768,59197,68612,88.91,Salaried,0,0,7,7,0
769,78329,95452,83.81,Self employed,0,0,26,26,0
770,57013,66651,88.52,Self employed,9,0,3,14,0
771,59197,68612,88.91,Self employed,0,0,0,0,0
772,61947,78424,80.33,Salaried,0,1,87,87,0
773,58459,88814,67.56,Salaried,0,0,0,0,0
774,50903,61928,84.94,Salaried,0,0,0,0,1
775,57509,89239,66.11,Self employed,0,0,0,0,0
776,63447,77472,83.9,Salaried,0,0,0,0,0
777,61947,77956,80.81,Self employed,0,0,0,0,0
778,48988,71081,74.56,Salaried,0,0,6,6,0
779,55759,81790,69.08,Salaried,0,0,0,0,0
780,54613,66651,84.92,Salaried,0,0,0,0,0
781,66419,80408,84.57,Salaried,0,0,20,20,0
782,57513,66340,88.94,Self employed,0,0,53,67,0
783,59463,68735,88.75,Salaried,0,0,46,66,0
784,49349,73302,68.21,Self employed,0,0,0,0,1
785,55009,68712,82.23,Salaried,0,0,0,0,0
786,55263,75609,75.39,Self employed,1,0,0,0,0
787,30484,67805,45.72,Self employed,0,0,0,0,0
788,27981,64122,46.79,Salaried,0,0,8,8,0
789,44304,72337,66.36,Self employed,0,0,0,0,0
790,58353,120157,51.6,Self employed,0,0,0,0,0
791,39549,76513,56.2,Self employed,0,0,0,0,1
792,50018,70117,77.01,Salaried,0,0,0,0,0
793,33834,68674,53.88,Salaried,0,0,0,0,0
794,42969,73466,62.61,Self employed,0,0,28,34,0
795,42044,80252,56.07,Self employed,0,0,0,0,0
796,55013,74968,74.7,Self employed,0,0,0,0,0
797,38139,76513,52.28,Self employed,0,0,0,0,0
798,39134,74886,56.09,Self employed,0,0,52,120,0
799,22824,67688,36.93,Salaried,0,0,21,23,0
800,23201,73124,34.19,Self employed,0,0,0,0,0
801,30344,75001,42.67,Self employed,0,0,0,0,0
802,45389,66674,71.99,Self employed,1,0,10,13,0
803,41469,58462,76.97,Self employed,1,1,20,46,1
804,23749,74968,34.68,Self employed,0,0,0,0,0
805,37239,80252,49.84,Self employed,0,0,0,0,0
806,58353,78682,78.8,Self employed,0,0,0,0,1
807,47138,64316,79.3,Salaried,0,0,13,43,0
808,47618,68674,74.99,Self employed,0,0,0,0,0
809,49793,70117,77.01,Self employed,1,0,8,14,1
810,44909,75001,62.67,Salaried,0,0,80,80,0
811,55013,76110,74.89,Self employed,0,0,0,0,0
812,69817,97311,73.99,Self employed,0,0,0,0,0
813,17850,97311,19.53,,0,0,0,0,0
814,51428,72749,75.6,Self employed,0,0,6,6,0
815,36439,73221,51.9,Self employed,0,0,0,0,1
816,46224,76513,65.35,Self employed,0,0,0,0,0
817,37629,70035,58.54,Self employed,0,0,77,77,0
818,28864,65509,47.32,Salaried,0,0,14,21,0
819,40509,72337,60.83,Self employed,0,0,0,0,0
820,54259,114802,48.78,Self employed,0,0,0,0,0
821,37639,72337,55.3,Self employed,0,0,32,63,0
822,42969,73466,62.61,Self employed,0,0,0,0,0
823,13990,80776,18.57,Self employed,0,0,54,54,0
824,54619,75001,76,Self employed,1,0,29,130,0
825,46869,64122,76.42,Salaried,0,0,0,0,0
826,38275,71520,55.93,Salaried,2,0,9,17,0
827,40534,68674,62.61,Salaried,0,0,0,0,0
828,45349,76406,61.51,Salaried,0,0,0,0,0
829,29524,80252,39.87,Self employed,0,0,0,0,1
830,57215,74968,79.9,Self employed,4,0,31,77,1
831,61433,102038,62.72,Self employed,0,0,0,0,0
832,45264,75344,65.04,Self employed,0,0,22,22,0
833,36714,77897,51.35,Self employed,0,0,0,0,0
834,28079,61512,49.62,Salaried,0,0,16,16,0
835,31484,71925,45.88,Self employed,0,0,0,0,0
836,50978,77897,70.61,Self employed,0,0,0,0,0
837,51803,71546,74.78,Salaried,0,0,0,0,0
838,47645,78840,63.42,Self employed,0,0,11,11,0
839,50078,76047,68.38,Self employed,0,0,0,0,0
840,49078,73553,69.34,Salaried,0,0,22,31,0
841,42494,68674,65.53,Salaried,0,0,0,0,0
842,38589,68674,61.16,Self employed,0,0,0,0,0
843,32484,68674,49.51,Salaried,1,0,12,30,0
844,13990,80776,18.57,Self employed,0,0,0,0,0
845,25293,75001,35.73,Self employed,0,0,0,0,0
846,56213,91538,65.55,Salaried,2,0,7,9,0
847,39549,59462,72.32,Salaried,0,0,0,0,0
848,57259,108950,54.15,Self employed,0,0,0,0,0
849,37239,73466,54.45,Salaried,0,0,0,0,0
850,49303,68885,74.04,,0,0,63,63,0
851,53814,84699,68.48,Self employed,0,0,0,0,0
852,50018,68674,78.63,Salaried,1,0,2,2,1
853,42969,73466,62.61,Self employed,0,0,49,104,0
854,40509,70117,62.75,Self employed,0,0,23,31,0
855,71143,117349,63.06,Salaried,0,0,0,0,0
856,50303,98110,53,Self employed,0,1,11,15,1
857,67657,99486,72.37,Self employed,0,0,0,0,0
858,31804,62611,54.3,Self employed,0,0,0,0,0
859,49763,75001,69.33,Salaried,0,0,0,0,0
860,23651,74886,33.38,Self employed,0,0,42,80,1
861,55489,74968,78.7,Self employed,0,0,16,25,1
862,50303,78840,65.96,Self employed,2,0,11,35,0
863,50018,68674,78.63,Salaried,0,0,23,23,1
864,28554,78682,39.4,Self employed,0,0,0,0,0
865,54373,75001,76,Self employed,0,0,0,0,0
866,49369,76513,67.44,Salaried,1,0,15,23,0
867,42969,73466,62.61,Self employed,0,0,0,0,0
868,29844,70117,45.64,Self employed,1,1,6,10,0
869,46224,72337,69.12,Self employed,0,0,0,0,0
870,39554,64767,64.85,Salaried,0,0,11,14,0
871,44909,80252,59.81,Self employed,2,0,13,40,1
872,52703,78840,69.76,Self employed,0,0,0,0,0
873,27204,75001,40,Self employed,0,0,30,35,1
874,56013,80906,71.69,,0,0,0,0,0
875,42864,58462,79.54,Self employed,0,0,0,0,0
876,45879,74886,65.43,Self employed,0,0,34,55,0
877,45889,74968,64.03,Salaried,0,0,0,0,0
878,39365,64122,67.06,Self employed,0,0,40,66,1
879,58959,77786,77.13,Salaried,0,0,0,0,0
880,47049,102800,46.69,Salaried,0,1,9,15,0
881,58959,69613,86.19,Salaried,1,0,8,15,0
882,58959,77536,77.38,Salaried,0,0,0,0,0
883,64369,86705,75.54,Salaried,0,0,0,0,1
884,47549,85100,58.75,Self employed,0,0,18,21,0
885,57959,67667,87.19,Salaried,0,0,49,49,0
886,40044,83305,51.02,Self employed,0,0,0,0,0
887,49078,68329,74.64,Salaried,0,1,25,25,1
888,60213,88077,69.26,Self employed,0,0,22,32,0
889,49149,66530,74.85,Self employed,0,0,0,0,0
890,57813,70888,84.64,Self employed,0,0,0,0,0
891,49349,66530,75.15,Salaried,0,0,0,0,0
892,40394,67677,62.06,Self employed,0,0,0,0,1
893,49303,67677,75.36,Salaried,0,0,0,0,0
894,51303,63948,81.32,Self employed,1,0,5,5,0
895,51803,66530,79.66,Self employed,0,0,0,0,0
896,46300,60580,79.23,Self employed,0,0,0,0,0
897,50078,62551,83.13,Self employed,0,0,10,10,0
898,27529,69013,40.57,Salaried,0,0,0,0,0
899,62197,75686,84.56,Self employed,0,0,0,0,0
900,60947,84635,74.44,Self employed,0,0,8,8,0
901,43394,65488,67.19,Self employed,1,0,8,12,0
902,71417,103842,69.91,Self employed,0,0,0,0,0
903,42094,71644,61,Self employed,0,0,0,0,1
904,45545,63455,73.91,Self employed,0,0,0,0,0
905,66169,97824,69.51,Self employed,0,0,0,0,0
906,50303,71762,71.07,Self employed,0,0,48,48,0
907,48349,66530,73.65,Self employed,0,0,45,45,0
908,59513,72892,82.73,Salaried,2,0,6,9,1
909,71717,105663,69.94,Self employed,0,0,0,0,1
910,49803,72043,71.49,Self employed,0,0,10,10,0
911,37939,61550,63.36,Salaried,0,0,0,0,0
912,54163,70309,78.23,Self employed,0,0,11,15,0
913,44394,66530,67.64,Self employed,0,0,0,0,0
914,59963,69013,89.11,Self employed,0,1,13,23,0
915,40694,73518,56.18,Salaried,0,0,40,40,0
916,34455,63455,56.73,Salaried,0,0,0,0,0
917,70317,102503,69.75,Self employed,0,1,17,27,0
918,63349,97681,67.57,Self employed,0,0,0,0,1
919,55115,68634,83.2,Salaried,0,0,0,0,0
920,51303,69909,74.38,Salaried,0,0,0,0,1
921,67382,97824,71.05,Salaried,0,0,0,0,1
922,57013,73518,78.89,Self employed,0,0,0,0,1
923,106648,160108,69.95,Self employed,1,2,11,23,0
924,65169,88555,74.53,Self employed,0,0,18,34,0
925,42300,59732,73.66,Self employed,0,0,0,0,0
926,38439,54272,71.86,Self employed,0,0,0,0,0
927,45349,63455,74.07,Self employed,0,0,0,0,1
928,51578,69013,76.07,Salaried,0,0,14,25,0
929,48145,63455,78.8,Self employed,0,0,0,0,1
930,47145,70764,67.83,Self employed,4,0,9,18,0
931,72717,97824,76.57,Self employed,1,0,0,0,1
932,49328,69013,73.9,Self employed,0,0,0,0,0
933,45300,73893,63.61,Self employed,0,0,0,0,0
934,41122,68423,60.65,Salaried,0,0,49,49,0
935,47349,64710,75.72,Self employed,0,0,0,0,1
936,66082,95288,70.52,Self employed,0,0,0,0,1
937,50078,59163,87.89,Salaried,0,0,0,0,0
938,52553,72723,74.25,Self employed,0,0,0,0,0
939,54303,71063,77.4,Self employed,0,0,0,0,0
940,54303,91700,59.98,Self employed,0,0,0,0,0
941,53803,70764,77.02,Self employed,1,1,15,40,0
942,52303,69098,78.15,Salaried,1,0,4,4,0
943,18619,66434,28.6,Self employed,0,0,0,0,0
944,46945,56049,87.07,Salaried,0,0,0,0,1
945,39394,67082,61.12,Self employed,0,0,0,0,0
946,42394,54432,79,Salaried,1,1,27,49,0
947,42894,69013,63.03,Self employed,0,0,0,0,0
948,66882,85575,79.46,Self employed,1,0,0,0,0
949,54303,69013,79.7,Salaried,0,0,0,0,1
950,35439,63455,58.31,Self employed,0,0,16,24,0
951,53303,80049,67.46,Self employed,2,0,5,5,0
952,34439,62011,56.44,Self employed,0,0,0,0,0
953,62213,88555,71.14,Self employed,0,0,0,0,0
954,48349,74694,65.6,Salaried,0,0,0,0,0
955,49103,67761,74.97,Salaried,2,0,19,52,0
956,43394,65488,68.71,Self employed,0,0,0,0,0
957,52703,74245,73.27,Self employed,0,0,0,0,0
958,46349,72892,64.48,Salaried,0,0,0,0,0
959,49349,76436,65.41,Self employed,0,0,0,0,0
960,36375,49690,74.66,Self employed,0,0,0,0,0
961,44849,62409,74.51,Self employed,0,0,0,0,1
962,56259,85897,67.52,Salaried,2,0,51,136,0
963,50303,73542,69.35,Salaried,1,0,26,77,0
964,27829,85575,33.07,Salaried,0,0,17,33,0
965,47349,64679,74.21,Salaried,0,0,0,0,1
966,54078,76436,71.96,Self employed,0,0,0,0,0
967,31784,74694,43.24,Salaried,0,0,0,0,0
968,105208,166206,66.18,Self employed,0,0,0,0,0
969,37439,59732,65.29,Self employed,0,0,0,0,0
970,49349,60309,82.91,Self employed,1,0,1,1,0
971,47349,65488,73.3,Self employed,0,0,0,0,0
972,41194,88555,47.2,Self employed,0,0,0,0,0
973,49903,67300,75.78,Salaried,0,0,0,0,1
974,37641,74694,51.54,Self employed,0,0,0,0,0
975,43894,74694,59.58,Salaried,0,0,0,0,0
976,50017,83305,63.62,Self employed,0,0,18,18,0
977,49049,66362,74.89,Self employed,0,0,10,10,0
978,47849,73981,65.56,Salaried,2,0,15,43,1
979,47645,73518,65.97,Self employed,0,0,0,0,0
980,58259,86000,69.77,Self employed,0,0,0,0,1
981,61947,99568,63.27,Self employed,0,0,0,0,1
982,49578,66530,75.91,Self employed,0,0,0,0,0
983,45849,59635,79.65,Self employed,2,0,10,23,0
984,44481,65726,69.68,Self employed,0,0,17,45,1
985,67919,99568,69.8,Self employed,0,0,0,0,0
986,54303,73537,74.79,Self employed,0,0,0,0,1
987,54078,69013,79.7,Self employed,0,0,0,0,1
988,42644,69013,63.76,Self employed,0,0,49,85,0
989,52077,70147,75.56,Salaried,1,1,19,49,0
990,37639,63455,63.04,Self employed,0,0,43,60,0
991,38939,49690,79.49,Self employed,0,0,0,0,0
992,29525,67082,46.06,Self employed,0,0,30,30,0
993,80386,126082,64.8,Salaried,0,0,0,0,0
994,60213,82560,75.1,Salaried,3,0,18,71,1
995,55013,63455,89.83,Salaried,0,0,0,0,0
996,39194,66782,61.39,Self employed,0,1,21,21,0
997,50678,82560,63.71,Self employed,1,0,2,4,1
998,54303,70593,77.91,Self employed,0,0,0,0,1
999,14740,87965,17.05,Salaried,0,0,0,0,0
1000,63947,76800,84.64,Salaried,0,0,0,0,0
